Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step: 660, attack: 0.81, loss: 2.38, ce: 0.45, reg: 33.91, reg_best: 33.88  
step: 670, attack: 0.95, loss: 1.42, ce: 0.23, reg: 37.79, reg_best: 33.88  
step: 680, attack: 0.91, loss: 1.40, ce: 0.18, reg: 38.15, reg_best: 33.88  
step: 690, attack: 0.90, loss: 1.94, ce: 0.34, reg: 35.46, reg_best: 33.88  
step: 700, attack: 0.91, loss: 1.92, ce: 0.30, reg: 35.69, reg_best: 33.88  
step: 710, attack: 0.92, loss: 2.00, ce: 0.26, reg: 36.44, reg_best: 33.88  
step: 720, attack: 0.94, loss: 1.96, ce: 0.25, reg: 37.37, reg_best: 33.88  
step: 730, attack: 0.95, loss: 1.92, ce: 0.29, reg: 35.97, reg_best: 33.88  
step: 740, attack: 0.95, loss: 1.95, ce: 0.28, reg: 36.15, reg_best: 33.88  
step: 750, attack: 0.91, loss: 1.92, ce: 0.28, reg: 35.83, reg_best: 33.88  
step: 760, attack: 0.89, loss: 2.15, ce: 0.25, reg: 36.35, reg_best: 33.88  
step: 770, attack: 0.90, loss: 1.93, ce: 0.33, reg: 35.15, reg_best: 33.88  
step: 780, attack: 0.80, loss: 2.03, ce: 0.32, reg: 35.24, reg_best: 33.88  
step: 790, attack: 0.91, loss: 1.96, ce: 0.34, reg: 34.99, reg_best: 33.88  
step: 800, attack: 0.92, loss: 1.94, ce: 0.29, reg: 36.17, reg_best: 33.88  
step: 810, attack: 0.89, loss: 1.98, ce: 0.24, reg: 36.08, reg_best: 33.88  
step: 820, attack: 0.93, loss: 1.91, ce: 0.28, reg: 35.20, reg_best: 33.88  
step: 830, attack: 0.97, loss: 1.93, ce: 0.22, reg: 37.29, reg_best: 33.88  
step: 840, attack: 0.87, loss: 2.01, ce: 0.28, reg: 35.29, reg_best: 33.88  
step: 850, attack: 0.93, loss: 1.88, ce: 0.27, reg: 35.27, reg_best: 33.88  
step: 860, attack: 0.95, loss: 1.99, ce: 0.24, reg: 37.35, reg_best: 33.88  
step: 870, attack: 0.89, loss: 2.04, ce: 0.23, reg: 37.12, reg_best: 33.88  
step: 880, attack: 0.85, loss: 1.97, ce: 0.32, reg: 35.21, reg_best: 33.88  
step: 890, attack: 0.92, loss: 1.97, ce: 0.29, reg: 35.84, reg_best: 33.88  
step: 900, attack: 0.91, loss: 1.93, ce: 0.32, reg: 35.37, reg_best: 33.88  
step: 910, attack: 0.89, loss: 1.98, ce: 0.32, reg: 36.06, reg_best: 33.88  
step: 920, attack: 0.96, loss: 1.93, ce: 0.20, reg: 37.43, reg_best: 33.88  
step: 930, attack: 0.90, loss: 1.92, ce: 0.32, reg: 35.11, reg_best: 33.88  
step: 940, attack: 0.87, loss: 2.06, ce: 0.29, reg: 35.86, reg_best: 33.88  
step: 950, attack: 0.95, loss: 1.91, ce: 0.23, reg: 36.31, reg_best: 33.88  
step: 960, attack: 0.95, loss: 1.91, ce: 0.23, reg: 36.40, reg_best: 33.88  
step: 970, attack: 0.95, loss: 1.93, ce: 0.28, reg: 35.58, reg_best: 33.88  
step: 980, attack: 0.89, loss: 1.95, ce: 0.35, reg: 35.24, reg_best: 33.88  
step: 990, attack: 0.85, loss: 2.07, ce: 0.32, reg: 35.45, reg_best: 33.88  [2K
mask norm of pair 0-2: 104.55

step:   0, attack: 0.16, loss: 3.23, ce: 2.88, reg: 511.20, reg_best: inf  
step:  10, attack: 1.00, loss: 0.32, ce: 0.03, reg: 284.14, reg_best: 284.14  
step:  20, attack: 1.00, loss: 0.30, ce: 0.03, reg: 177.15, reg_best: 177.15  
step:  30, attack: 1.00, loss: 0.28, ce: 0.03, reg: 115.41, reg_best: 115.41  
step:  40, attack: 1.00, loss: 0.33, ce: 0.02, reg: 86.89, reg_best: 86.42  
step:  50, attack: 1.00, loss: 0.37, ce: 0.02, reg: 67.97, reg_best: 65.15  
step:  60, attack: 0.99, loss: 0.45, ce: 0.05, reg: 53.86, reg_best: 53.86  
step:  70, attack: 0.99, loss: 0.61, ce: 0.07, reg: 45.85, reg_best: 45.85  
step:  80, attack: 0.99, loss: 0.80, ce: 0.07, reg: 43.77, reg_best: 42.56  
step:  90, attack: 0.98, loss: 1.13, ce: 0.11, reg: 40.72, reg_best: 40.72  
step: 100, attack: 0.95, loss: 1.59, ce: 0.18, reg: 37.51, reg_best: 37.51  
step: 110, attack: 0.98, loss: 1.61, ce: 0.13, reg: 39.20, reg_best: 37.11  
step: 120, attack: 0.87, loss: 1.64, ce: 0.21, reg: 37.01, reg_best: 36.84  
step: 130, attack: 0.97, loss: 1.65, ce: 0.13, reg: 39.35, reg_best: 36.66  
step: 140, attack: 0.95, loss: 1.61, ce: 0.19, reg: 37.76, reg_best: 35.76  
step: 150, attack: 0.89, loss: 1.67, ce: 0.23, reg: 36.73, reg_best: 35.76  
step: 160, attack: 0.91, loss: 1.69, ce: 0.18, reg: 36.36, reg_best: 35.70  
step: 170, attack: 0.82, loss: 2.44, ce: 0.24, reg: 35.76, reg_best: 35.70  
step: 180, attack: 0.92, loss: 2.23, ce: 0.25, reg: 35.06, reg_best: 34.36  
step: 190, attack: 0.93, loss: 2.23, ce: 0.26, reg: 34.82, reg_best: 34.17  
step: 200, attack: 0.94, loss: 2.25, ce: 0.21, reg: 36.19, reg_best: 33.75  
step: 210, attack: 0.88, loss: 2.32, ce: 0.22, reg: 35.92, reg_best: 33.37  
step: 220, attack: 0.94, loss: 2.22, ce: 0.25, reg: 34.73, reg_best: 33.37  
step: 230, attack: 0.92, loss: 2.19, ce: 0.26, reg: 34.28, reg_best: 33.37  
step: 240, attack: 0.88, loss: 2.23, ce: 0.41, reg: 32.95, reg_best: 33.37  
step: 250, attack: 0.94, loss: 2.26, ce: 0.21, reg: 36.18, reg_best: 33.37  
step: 260, attack: 0.90, loss: 2.26, ce: 0.43, reg: 33.09, reg_best: 33.17  
step: 270, attack: 0.88, loss: 2.36, ce: 0.32, reg: 34.02, reg_best: 33.17  
step: 280, attack: 0.86, loss: 2.33, ce: 0.34, reg: 33.87, reg_best: 33.14  
step: 290, attack: 0.80, loss: 2.60, ce: 0.32, reg: 33.23, reg_best: 33.14  
step: 300, attack: 0.91, loss: 2.19, ce: 0.32, reg: 33.53, reg_best: 33.14  
step: 310, attack: 0.92, loss: 2.20, ce: 0.30, reg: 34.03, reg_best: 33.14  
step: 320, attack: 0.91, loss: 2.19, ce: 0.33, reg: 33.42, reg_best: 33.14  
step: 330, attack: 0.95, loss: 2.28, ce: 0.23, reg: 36.35, reg_best: 33.14  
step: 340, attack: 0.92, loss: 2.20, ce: 0.29, reg: 34.26, reg_best: 33.14  
step: 350, attack: 0.95, loss: 2.31, ce: 0.19, reg: 37.43, reg_best: 33.05  
step: 360, attack: 0.89, loss: 2.22, ce: 0.44, reg: 32.41, reg_best: 33.05  
step: 370, attack: 0.88, loss: 2.28, ce: 0.28, reg: 34.11, reg_best: 32.79  
step: 380, attack: 0.91, loss: 2.22, ce: 0.38, reg: 33.11, reg_best: 32.79  
